iter	Passed	Remaining
0	56	56357
1	56	28277
2	56	18911
3	57	14228
4	57	11415
5	57	9541
6	57	8205
7	58	7200
8	58	6419
9	58	5794
10	58	5283
11	58	4855
12	59	4495
13	59	4185
14	59	3917
15	59	3681
16	60	3474
17	60	3290
18	60	3125
19	60	2976
20	60	2843
21	61	2723
22	61	2611
23	61	2509
24	61	2415
25	62	2328
26	62	2247
27	62	2172
28	62	2101
29	63	2037
30	63	1975
31	63	1918
32	63	1864
33	63	1813
34	64	1766
35	64	1720
36	64	1677
37	64	1637
38	64	1599
39	65	1562
40	65	1527
41	65	1494
42	65	1463
43	65	1432
44	66	1404
45	66	1377
46	66	1350
47	66	1325
48	67	1300
49	67	1277
50	67	1254
51	67	1232
52	67	1211
53	68	1191
54	68	1172
55	68	1153
56	68	1135
57	68	1118
58	69	1101
59	69	1084
60	69	1069
61	69	1053
62	69	1038
63	70	1024
64	70	1010
65	70	997
66	70	984
67	70	969
68	70	957
69	71	945
70	71	933
71	71	922
72	71	911
73	71	900
74	72	890
75	72	879
76	72	869
77	72	860
78	72	850
79	73	841
80	73	832
81	73	823
82	73	814
83	73	806
84	74	797
85	74	788
86	74	780
87	74	772
88	74	765
89	74	757
90	75	750
91	75	743
92	75	736
93	75	729
94	75	723
95	76	717
96	76	710
97	76	704
98	76	698
99	76	692
100	77	686
101	77	679
102	77	673
103	77	667
104	77	662
105	77	656
106	78	651
107	78	646
108	78	641
109	78	636
110	78	631
111	79	627
112	79	622
113	79	617
114	79	612
115	79	608
116	80	604
117	80	600
118	80	595
119	80	591
120	80	587
121	81	583
122	81	578
123	81	574
124	81	570
125	81	566
126	81	562
127	81	558
128	82	554
129	82	551
130	82	547
131	82	543
132	82	540
133	83	537
134	83	533
135	83	530
136	83	527
137	83	523
138	83	520
139	84	517
140	84	513
141	84	510
142	84	507
143	84	504
144	85	502
145	85	499
146	85	496
147	85	493
148	85	490
149	86	487
150	86	485
151	86	482
152	86	479
153	86	477
154	87	474
155	87	472
156	87	469
157	87	467
158	87	464
159	88	462
160	88	459
161	88	457
162	88	455
163	88	452
164	89	450
165	89	448
166	89	446
167	89	443
168	89	441
169	90	439
170	90	437
171	90	435
172	90	433
173	90	431
174	91	429
175	91	427
176	91	425
177	91	423
178	91	421
179	91	419
180	92	416
181	92	414
182	92	412
183	92	410
184	92	408
185	92	406
186	93	405
187	93	403
188	93	401
189	93	399
190	93	398
191	94	396
192	94	394
193	94	392
194	94	391
195	94	389
196	95	387
197	95	386
198	95	384
199	95	383
200	95	381
201	96	379
202	96	378
203	96	376
204	96	375
205	96	373
206	97	372
207	97	370
208	97	369
209	97	367
210	97	366
211	98	364
212	98	363
213	98	361
214	98	360
215	98	359
216	99	357
217	99	356
218	99	354
219	99	353
220	99	352
221	100	350
222	100	349
223	100	348
224	100	346
225	100	345
226	101	344
227	101	342
228	101	341
