iter	RMSE
0	14.5959098
1	14.16191407
2	13.79030831
3	13.40057695
4	13.03413517
5	12.6665281
6	12.30654498
7	11.98369756
8	11.67126994
9	11.33610086
10	11.04938595
11	10.76139915
12	10.49640189
13	10.20862936
14	9.939059138
15	9.667262794
16	9.460112295
17	9.242447598
18	9.001909029
19	8.791004888
20	8.589471151
21	8.375798472
22	8.202826798
23	7.998619601
24	7.818953509
25	7.642757529
26	7.478788864
27	7.316960293
28	7.157300163
29	7.007558533
30	6.866406292
31	6.746830875
32	6.635598331
33	6.516780689
34	6.391891937
35	6.282280018
36	6.165737843
37	6.06854783
38	5.96566703
39	5.859901302
40	5.763227315
41	5.671200989
42	5.581309641
43	5.498577179
44	5.429226408
45	5.354714094
46	5.282111581
47	5.222685268
48	5.158164478
49	5.096270128
50	5.029613856
51	4.974845009
52	4.917032106
53	4.864877704
54	4.82023037
55	4.777889843
56	4.733282165
57	4.688681597
58	4.648136628
59	4.608473996
60	4.567661393
61	4.526586114
62	4.487676231
63	4.448746857
64	4.420990243
65	4.391020895
66	4.358976058
67	4.335892994
68	4.306021043
69	4.276109077
70	4.251162517
71	4.224712078
72	4.194929924
73	4.174182367
74	4.153151917
75	4.128211305
76	4.09797197
77	4.074324671
78	4.050903964
79	4.028093288
80	4.010384938
81	3.990657514
82	3.972908998
83	3.953199948
84	3.935253797
85	3.922302902
86	3.908478261
87	3.889042475
88	3.873066629
89	3.857292389
90	3.841447348
91	3.823461123
92	3.809049795
93	3.795413643
94	3.785205632
95	3.76799367
96	3.756848761
97	3.742966768
98	3.730913033
99	3.723614611
100	3.710142582
101	3.693422529
102	3.676576973
103	3.662984575
104	3.649376639
105	3.636704618
106	3.621848103
107	3.611769489
108	3.603878372
109	3.59186829
110	3.581280165
111	3.573073352
112	3.559034308
113	3.54931332
114	3.539451221
115	3.529130948
116	3.518054041
117	3.513607349
118	3.507768933
119	3.499758384
120	3.488293463
121	3.478345999
122	3.47206993
123	3.463781818
124	3.455215047
125	3.44274582
126	3.43277311
127	3.42475193
128	3.41596198
129	3.404050916
130	3.399643408
131	3.392291968
132	3.384584517
133	3.37671025
134	3.369927268
135	3.362436146
136	3.355678379
137	3.344766414
138	3.340868836
139	3.33675889
140	3.33067317
141	3.32201264
142	3.312657046
143	3.303431925
144	3.293481958
145	3.287625737
146	3.283050416
147	3.276572752
148	3.269093221
149	3.260413096
150	3.253889807
151	3.24559176
152	3.238829495
153	3.232506105
154	3.221477425
155	3.215097326
156	3.208071578
157	3.202001096
158	3.195246405
159	3.189495863
160	3.183113084
161	3.176086208
162	3.169611025
163	3.158115625
164	3.15373594
165	3.146403667
