iter	Passed	Remaining
0	55	55115
1	55	27717
2	55	18585
3	56	14011
4	56	11270
5	57	9443
6	57	8139
7	57	7161
8	58	6397
9	58	5786
10	58	5287
11	59	4870
12	59	4524
13	59	4221
14	60	3958
15	60	3727
16	60	3524
17	61	3344
18	61	3182
19	61	3036
20	62	2903
21	62	2783
22	62	2665
23	63	2564
24	63	2475
25	63	2391
26	64	2312
27	64	2240
28	64	2174
29	65	2114
30	65	2056
31	66	1999
32	66	1946
33	66	1896
34	67	1850
35	67	1806
36	67	1764
37	68	1724
38	68	1686
39	68	1650
40	69	1617
41	69	1586
42	69	1554
43	70	1525
44	70	1497
45	70	1470
46	71	1444
47	71	1418
48	71	1394
49	72	1372
50	72	1350
51	72	1329
52	73	1308
53	73	1289
54	73	1270
55	74	1251
56	74	1233
57	74	1217
58	75	1200
59	75	1184
60	75	1169
61	76	1154
62	76	1139
63	76	1125
64	77	1111
65	77	1099
66	78	1086
67	78	1072
68	78	1060
69	78	1048
70	79	1037
71	79	1026
72	80	1016
73	80	1006
74	80	995
75	81	985
76	81	975
77	81	966
78	82	957
79	82	948
80	82	939
81	83	930
82	83	922
83	83	913
84	84	905
85	84	897
86	84	889
87	85	882
88	85	875
89	85	868
90	86	862
91	86	856
92	87	849
93	87	842
94	87	835
95	88	829
96	88	823
97	88	817
98	89	811
99	89	804
100	89	798
101	90	792
102	90	786
103	90	781
104	90	775
105	91	770
106	91	764
107	92	759
108	92	754
109	92	750
110	93	745
111	93	740
112	93	735
113	94	730
114	94	726
115	94	721
116	95	717
117	95	714
118	95	709
119	96	705
120	96	701
121	96	697
122	97	693
123	97	689
124	97	685
125	98	681
126	98	677
127	98	674
128	99	670
129	99	666
130	99	662
131	100	659
132	100	655
133	100	652
134	101	648
135	101	645
136	101	641
137	102	638
138	102	635
139	102	631
140	103	628
141	103	625
142	103	623
143	104	620
144	104	617
145	104	614
146	105	611
147	105	608
148	106	605
149	106	602
150	106	599
151	107	597
152	107	594
153	107	591
154	107	588
155	108	586
156	108	583
157	109	580
158	109	578
159	109	575
160	110	573
161	110	570
162	110	568
163	111	566
164	111	564
165	111	561
166	112	559
167	112	557
168	112	554
169	113	552
170	113	550
171	113	547
172	114	545
173	114	543
174	114	540
175	114	538
176	115	535
177	115	533
178	115	531
179	116	529
180	116	527
181	116	525
182	117	523
183	117	521
184	117	519
185	118	517
186	118	515
187	118	513
188	119	511
189	119	509
190	119	507
191	120	505
192	120	504
193	120	502
194	121	500
195	121	498
196	121	496
197	122	494
198	122	493
199	122	491
200	123	489
201	123	487
202	123	486
203	124	484
204	124	482
205	124	481
206	125	479
207	125	477
208	125	476
209	126	474
210	126	472
211	126	471
212	127	470
213	127	468
214	128	467
215	128	465
216	128	464
217	129	462
218	129	461
219	129	459
220	130	458
221	130	456
222	130	455
223	131	453
224	131	452
225	131	450
226	131	449
227	132	448
228	132	446
229	132	445
230	133	443
231	133	442
232	134	441
233	134	439
234	134	438
235	134	436
236	135	435
237	135	434
238	135	432
239	136	431
240	136	430
241	136	428
242	137	427
243	137	426
244	137	425
245	138	423
246	138	422
247	138	421
248	139	420
249	139	418
250	139	417
251	140	416
252	140	415
253	140	414
254	141	412
255	141	411
256	142	410
257	142	409
258	142	408
259	143	407
260	143	406
261	143	405
262	144	404
263	144	403
264	145	402
265	145	401
266	145	399
267	146	398
268	146	397
269	146	396
270	147	395
271	147	394
272	147	393
273	147	392
274	148	390
275	148	389
276	148	388
277	149	387
278	149	386
279	150	385
280	150	384
281	150	383
282	151	382
283	151	381
284	151	380
285	152	379
286	152	378
287	152	377
288	153	376
289	153	375
290	153	374
291	154	373
292	154	372
293	154	371
294	155	370
295	155	369
296	155	368
297	156	367
298	156	366
299	156	365
300	157	364
301	157	364
302	157	363
303	158	362
304	158	361
305	158	360
306	159	359
307	159	358
308	160	358
309	160	357
310	160	356
311	161	355
312	161	354
313	161	353
314	162	352
315	162	351
316	162	350
317	163	349
318	163	348
319	163	348
320	164	347
321	164	346
322	164	345
323	165	344
324	165	343
325	165	342
326	166	342
327	166	341
328	166	340
329	167	339
330	167	338
331	168	338
332	168	337
333	168	336
334	169	336
335	169	335
336	169	334
337	170	333
338	170	332
339	171	332
340	171	331
341	171	330
342	172	329
343	172	328
344	172	328
345	173	327
346	173	326
347	173	325
348	174	324
349	174	323
350	174	323
351	175	322
352	175	321
353	175	320
354	176	320
355	176	319
356	176	318
357	177	317
358	177	316
359	177	316
360	178	315
361	178	314
362	178	313
363	179	313
364	179	312
365	179	311
366	180	310
367	180	310
368	180	309
369	181	308
370	181	307
371	181	307
372	182	306
373	182	305
374	182	304
375	183	304
376	183	303
377	184	302
378	184	302
379	184	301
380	185	300
381	185	299
382	185	299
383	186	298
384	186	297
385	186	297
386	187	296
387	187	295
388	187	294
389	188	294
390	188	293
391	188	292
392	189	292
393	189	291
394	189	290
395	190	289
396	190	289
397	190	288
398	191	287
399	191	287
400	191	286
401	192	285
402	192	285
403	192	284
404	193	283
405	193	283
406	193	282
407	194	281
408	194	280
409	194	280
410	195	279
411	195	278
412	195	278
413	196	277
414	196	276
415	196	276
416	197	275
417	197	274
418	197	274
419	198	273
420	198	273
421	198	272
422	199	271
423	199	271
424	199	270
425	200	269
426	200	269
427	200	268
428	201	267
429	201	267
430	201	266
431	202	265
432	202	265
433	202	264
434	203	263
435	203	263
436	203	262
437	204	262
438	204	261
439	204	260
440	205	260
441	205	259
442	205	258
443	206	258
444	206	257
445	207	257
446	207	256
447	207	255
448	208	255
449	208	254
450	208	254
451	208	253
452	209	252
453	209	252
454	210	251
455	210	251
456	210	250
457	211	249
458	211	249
459	211	248
